FEEDBACK_ID,ORDER_ID,CUSTOMER_ID,RATING,COMMENT,SENTIMENT_SCORE,CREATED_AT
1,1,1941,5,Class enjoy else so operation foot million foot tell modern just until here.,1.9530090496905799,2024-05-13 12:48:00
2,5,477,3,Phone significant style remain under drop family lot finally step front get decide notice.,0.3838340994176017,2024-12-11 01:57:00
3,7,3118,4,Hear leader tend the thing whole wind her police accept.,0.9141138644782916,2024-01-12 02:10:00
4,8,2347,5,Stage heavy garden trouble know expert door her listen picture really sense else blood bed.,1.8353086273977262,2024-11-09 13:16:00
5,10,314,1,Animal game attack girl worry better community actually majority grow truth.,-1.5698019063697215,2024-12-31 05:17:00
6,11,916,5,Stock already near win least citizen fact win green successful service tend whom senior sell.,1.577693640516875,2023-11-20 17:11:00
7,14,1874,2,Ball exactly song better serious care lose food piece involve build avoid.,-1.0402566506224349,2023-08-25 23:57:00
8,23,1827,5,Seven system size step leg expert while whom happy oil read act.,1.643094985725492,2023-05-09 21:50:00
9,25,101,5,Big business such yourself product her office charge around couple wait concern how reason.,2.1927023510147845,2024-12-01 05:21:00
10,26,1456,1,Soon picture piece bring nothing yourself industry particular.,-1.937594308476144,2024-02-07 04:46:00
11,31,1241,2,Set condition sign wait foreign form newspaper executive the six defense so federal show drop.,-0.79413687873407,2024-04-14 08:42:00
12,34,4033,2,Other sit seven cell same save system future.,-1.4843407916372606,2024-03-14 13:42:00
13,35,1171,3,Catch tough stuff interview determine stuff or fire information property computer per set present next.,-0.23115662461433084,2024-12-18 10:03:00
14,37,2722,3,Risk case hospital professional seek this western speak happen.,-0.4442805778121204,2024-04-11 00:07:00
15,46,4968,2,Must development small top cold others hour front represent nation cut natural Republican conference meet painting.,-1.2765263426381854,2023-07-08 04:47:00
16,52,4954,2,All firm itself nothing indeed decision cost site party could information admit.,-1.0843015741002846,2023-06-16 22:53:00
17,53,4940,5,Shoulder common mention training drive modern growth answer society suggest.,2.077547260124432,2024-02-24 01:59:00
18,54,1646,5,Fire get story who then player down act.,1.8065910518089512,2024-07-14 07:12:00
19,56,3167,3,Carry remember entire doctor attention among summer prepare policy treatment standard.,0.1927961471060219,2024-03-30 08:44:00
20,61,4769,4,Price open current draw air key perform language.,1.0566573518853595,2024-02-26 07:27:00
21,69,4328,2,Project five prevent early research across safe safe station.,-0.6191884034437353,2024-04-01 22:49:00
22,72,3142,3,Land young other image themselves hair address lot everybody manage red allow.,-0.4605514587883607,2024-10-29 14:00:00
23,78,2019,1,Employee story risk natural together size firm.,-1.56316358910051,2023-09-03 04:38:00
24,80,1082,4,Environmental money night sell every use side receive off base who TV data.,1.305913350541445,2023-06-06 07:57:00
25,90,3619,3,Political say might number wish learn she sea necessary similar left.,-0.13994469623472572,2024-06-07 21:10:00
26,95,1827,1,Position guess minute clear about spring necessary himself door age instead father help chance.,-1.9399057160703364,2024-05-28 22:53:00
27,96,3787,4,Price student process buy road store decide occur source help street front water ask trip.,0.5040634148923517,2024-12-19 09:18:00
28,99,4337,4,Benefit relate event action item director hold beyond down always reason be.,0.5927035383948528,2023-09-16 19:32:00
29,102,4206,1,Feeling decide price their out positive art paper level act.,-1.89628468981225,2024-02-22 17:29:00
30,103,541,1,Entire church similar especially reveal prove car body future.,-1.9066745474957008,2024-02-01 19:05:00
31,104,1540,5,Here account employee project as simply land street.,2.390657032215155,2023-04-21 03:01:00
32,105,1977,4,Everyone team series focus present maybe in.,0.8377287078025928,2023-06-30 19:53:00
33,107,2710,3,Work check population use poor them recently minute sound run sell it recent low.,-0.2079612766844483,2023-12-17 11:20:00
34,109,4662,3,Safe nothing main adult strategy people window outside a pay large be culture she see agree.,-0.4431001635390096,2024-08-17 22:32:00
35,112,1443,4,Threat return state manage as some few president space office field eye carry include her.,1.4516908570301443,2023-08-25 01:30:00
36,113,231,2,Five rise to need despite college natural authority town current rather collection second.,-0.9437953597758774,2023-08-17 19:50:00
37,117,798,1,Check write mind position direction a traditional also bill lead significant shoulder hundred trial chance too.,-2.3689357826139235,2023-04-20 15:02:00
38,119,3173,5,Find evening respond feel more affect kid out happen team heart father through although security.,2.0355989475667693,2024-03-31 19:56:00
39,120,778,2,New where property design while change first couple contain month opportunity sister.,-1.351538510408902,2023-06-10 14:50:00
40,121,1203,2,Build heart about anyone game analysis radio gas buy us.,-1.4902216823628949,2023-05-29 19:33:00
41,123,1010,5,Pretty expert perform serious I night sort price treatment the appear listen couple message official relate.,1.507272000537431,2024-02-13 12:57:00
42,127,1247,4,Power position sell last particularly bit hard adult son.,0.9794013784687936,2023-02-03 21:11:00
43,130,3707,1,Meet inside image agent everyone article enter they red discuss hope important spring sense almost simple.,-1.5010018780381231,2023-05-25 23:18:00
44,131,2773,4,Vote case miss think subject even guess possible west position heart suggest candidate travel.,0.9242333145438577,2023-03-26 16:32:00
45,136,209,4,Opportunity ball force may so box maintain once me benefit effort participant girl way position sister.,0.5511732128685134,2024-02-08 22:30:00
46,137,4276,3,Carry box human effect between unit series old wrong end.,0.036885567747996006,2023-12-27 23:32:00
47,138,5000,1,Institution offer group offer analysis crime design father of stop world often right.,-2.0389211681078985,2023-07-21 18:16:00
48,141,2173,2,Customer property man everybody face thing always attorney else sometimes speak.,-0.6190205948950386,2023-04-26 16:38:00
49,145,3328,2,Something artist again Democrat seem chance scene glass.,-1.222120908953268,2024-05-19 04:37:00
50,150,2580,4,Happen blood star space exactly idea security firm without she.,0.8907039698104765,2024-10-21 01:48:00
51,156,784,4,Happy part point continue collection world garden adult range.,0.5378664999414974,2024-10-13 17:53:00
52,158,997,5,Eat character at live kind recent answer shake your generation method see of just.,2.491044209950609,2024-07-03 17:24:00
53,165,2820,4,Note case Republican occur seem economic five stock learn north investment various address concern yet yard.,0.5913634301650923,2024-09-20 17:43:00
54,168,4632,1,Hand around some others although style agreement director.,-2.3220191071086083,2024-05-08 09:16:00
55,172,771,4,Front offer style religious after product parent Congress ground building staff keep.,1.3833148433296505,2024-04-09 06:52:00
56,183,1419,1,Size team minute address perform half bed for relationship.,-1.5243659463100143,2024-01-27 17:21:00
57,185,608,3,Hard long figure attack window however prevent common big.,-0.4986347000364507,2024-04-22 21:41:00
58,189,2342,4,Some ago part executive safe lose happen.,0.7781125792011788,2023-12-10 08:32:00
59,194,4946,4,Hand front movement baby Democrat third still nothing industry one kid if picture.,1.304458590041727,2024-06-17 00:26:00
60,197,1515,3,Another late fear student piece war provide upon stage affect anything top risk history.,0.02949007734847775,2024-11-15 04:52:00
61,199,2080,1,Garden director school commercial onto machine teach summer.,-1.8260095822821834,2023-04-04 10:13:00
62,202,2394,2,Like best enough particular body after political action these tend suddenly.,-1.408178185160009,2024-08-21 05:16:00
63,203,2533,3,Pm majority kind quickly air campaign for machine.,0.2612226081625585,2023-05-17 16:36:00
64,209,4287,5,Big skin spring very value ago interesting five example southern Mr.,2.189173246105257,2023-02-25 09:15:00
65,210,4948,4,West determine heart effort high last feeling trial upon science although.,1.487614322159811,2024-11-20 01:07:00
66,217,39,1,Rest game really land many important financial article old door item school hour.,-2.4890695735842785,2023-10-27 06:06:00
67,218,390,1,Deal member agreement that success program arm entire water early car country never watch.,-1.9337329638545202,2024-03-30 01:52:00
68,219,2007,3,Although move left scientist most receive American baby language structure.,0.22954415810258588,2024-03-11 10:26:00
